"code","iso","country","PINSETWW.2011"
4,"AFG","Afghanistan",0
8,"ALB","Albania",10
12,"DZA","Algeria",55
16,"ASM","American Samoa",-9999
20,"AND","Andorra",-9999
24,"AGO","Angola",0
660,"AIA","Anguilla",-9999
28,"ATG","Antigua and Barbuda",-9999
32,"ARG","Argentina",6
51,"ARM","Armenia",0
533,"ABW","Aruba",-9999
36,"AUS","Australia",100
40,"AUT","Austria",94
31,"AZE","Azerbaijan",20
44,"BHS","Bahamas",-9999
48,"BHR","Bahrain",75
50,"BGD","Bangladesh",0
52,"BRB","Barbados",-9999
112,"BLR","Belarus",10
56,"BEL","Belgium",63
84,"BLZ","Belize",-9999
204,"BEN","Benin",0
60,"BMU","Bermuda",-9999
64,"BTN","Bhutan",0
68,"BOL","Bolivia",11
70,"BIH","Bosnia and Herzegovina",0
72,"BWA","Botswana",5
76,"BRA","Brazil",20
92,"VGB","British Virgin Islands",-9999
96,"BRN","Brunei Darussalam",-9999
100,"BGR","Bulgaria",43
854,"BFA","Burkina Faso",0
108,"BDI","Burundi",0
116,"KHM","Cambodia",0
120,"CMR","Cameroon",0
124,"CAN","Canada",80
132,"CPV","Cape Verde",-9999
136,"CYM","Cayman Islands",-9999
140,"CAF","Central African Republic",0
148,"TCD","Chad",0
152,"CHL","Chile",72
156,"CHN","China",26
170,"COL","Colombia",28
174,"COM","Comoros",-9999
178,"COG","Congo",2
184,"COK","Cook Islands",-9999
188,"CRI","Costa Rica",15
384,"CIV","Cote d'Ivoire",5
191,"HRV","Croatia",40
192,"CUB","Cuba",15
196,"CYP","Cyprus",50
203,"CZE","Czech Republic",75
180,"COD","Dem. Rep. Congo",0
208,"DNK","Denmark",100
262,"DJI","Djibouti",0
212,"DMA","Dominica",-9999
214,"DOM","Dominican Republic",10
218,"ECU","Ecuador",0
818,"EGY","Egypt",70
222,"SLV","El Salvador",20
226,"GNQ","Equatorial Guinea",5
232,"ERI","Eritrea",0
233,"EST","Estonia",80
231,"ETH","Ethiopia",0
234,"FRO","Faeroe Islands",-9999
238,"FLK","Falkland Islands",-9999
242,"FJI","Fiji",10
246,"FIN","Finland",100
250,"FRA","France",88
254,"GUF","French Guiana",-9999
258,"PYF","French Polynesia",-9999
266,"GAB","Gabon",0
270,"GMB","Gambia",5
268,"GEO","Georgia",0
276,"DEU","Germany",97
288,"GHA","Ghana",0
292,"GIB","Gibraltar",-9999
300,"GRC","Greece",88
304,"GRL","Greenland",-9999
308,"GRD","Grenada",-9999
312,"GLP","Guadeloupe",-9999
316,"GUM","Guam",-9999
320,"GTM","Guatemala",20
324,"GIN","Guinea",0
624,"GNB","Guinea-Bissau",0
328,"GUY","Guyana",10
332,"HTI","Haiti",0
336,"VAT","Holy See",-9999
340,"HND","Honduras",5
344,"HKG","Hong Kong",95
348,"HUN","Hungary",70
352,"ISL","Iceland",-9999
356,"IND","India",19
360,"IDN","Indonesia",1
364,"IRN","Iran",10
368,"IRQ","Iraq",27
372,"IRL","Ireland",93
833,"IMN","Isle of Man",-9999
376,"ISR","Israel",84
380,"ITA","Italy",94
388,"JAM","Jamaica",10
392,"JPN","Japan",96
400,"JOR","Jordan",30
398,"KAZ","Kazakhstan",50
404,"KEN","Kenya",10
296,"KIR","Kiribati",-9999
414,"KWT","Kuwait",43
417,"KGZ","Kyrgyzstan",10
418,"LAO","Laos",0
428,"LVA","Latvia",91
422,"LBN","Lebanon",-8888
426,"LSO","Lesotho",5
430,"LBR","Liberia",0
434,"LBY","Libya",20
438,"LIE","Liechtenstein",-9999
440,"LTU","Lithuania",67
442,"LUX","Luxembourg",-9999
446,"MAC","Macao",-9999
807,"MKD","Macedonia",12
450,"MDG","Madagascar",5
454,"MWI","Malawi",0
458,"MYS","Malaysia",16
462,"MDV","Maldives",-9999
466,"MLI","Mali",0
470,"MLT","Malta",-9999
584,"MHL","Marshall Islands",-9999
474,"MTQ","Martinique",-9999
478,"MRT","Mauritania",0
480,"MUS","Mauritius",10
175,"MYT","Mayotte",-9999
484,"MEX","Mexico",41
583,"FSM","Micronesia",-9999
498,"MDA","Moldova",20
492,"MCO","Monaco",-9999
496,"MNG","Mongolia",10
499,"MNE","Montenegro",10
500,"MSR","Montserrat",-9999
504,"MAR","Morocco",10
508,"MOZ","Mozambique",0
